Id,Id2,Geography,Households 2014,Households 2014 MOE,Median Income 2014,Median Income 2014 MOE,Households 2012,Households 2012 MOE,Median Income 2012,Median Income 2012 MOE,Adjusted 2012 Median Income,Percent Change
1400000US04019002906,04019002906,"Census Tract 29.06, Pima County, Arizona",1303,103,54364,7194,1366,120,54207,14734,55893.2217392441,-0.0273596993
1400000US04019003002,04019003002,"Census Tract 30.02, Pima County, Arizona",2055,128,38682,7990,2036,136,42643,9971,43969.4994120055,-0.1202538005
1400000US04019003003,04019003003,"Census Tract 30.03, Pima County, Arizona",2082,191,25047,4052,2074,191,23286,5547,24010.3595738565,0.0431747148
1400000US04019003004,04019003004,"Census Tract 30.04, Pima County, Arizona",806,69,58000,10072,886,70,51542,4350,53145.3213585721,0.0913472441
1400000US04019003101,04019003101,"Census Tract 31.01, Pima County, Arizona",2912,179,25319,2964,2907,138,25806,3405,26608.7494272498,-0.0484708772
1400000US04019003102,04019003102,"Census Tract 31.02, Pima County, Arizona",1916,100,32588,4257,1932,119,33286,5697,34321.4304206556,-0.0505057744
1400000US04019003200,04019003200,"Census Tract 32, Pima County, Arizona",2897,182,40795,11779,2902,168,35793,9324,36906.4158819481,0.1053633637
1400000US04019003302,04019003302,"Census Tract 33.02, Pima County, Arizona",1484,123,46265,3902,1623,90,49527,7499,51067.6405829421,-0.094044693
1400000US04019003303,04019003303,"Census Tract 33.03, Pima County, Arizona",1780,130,31622,8787,1863,142,25864,5648,26668.5536381613,0.1857410953
1400000US04019003304,04019003304,"Census Tract 33.04, Pima County, Arizona",1703,129,31531,9201,1654,132,35083,15215,36174.3298518254,-0.128359803
1400000US04019003400,04019003400,"Census Tract 34, Pima County, Arizona",2179,168,45290,7004,2280,131,51544,13778,53147.3835727415,-0.1478413996
1400000US04019003501,04019003501,"Census Tract 35.01, Pima County, Arizona",2935,182,22963,1746,2725,194,24606,3490,25371.4209256339,-0.0949265291
1400000US04019003502,04019003502,"Census Tract 35.02, Pima County, Arizona",1802,136,27472,11600,1862,119,35833,6495,36947.6601653353,-0.2564617116
1400000US04019003503,04019003503,"Census Tract 35.03, Pima County, Arizona",1563,115,28381,6257,1564,86,26687,3056,27517.1547688528,0.0313929706
1400000US04019003504,04019003504,"Census Tract 35.04, Pima County, Arizona",955,80,33565,6143,906,84,49070,6103,50596.4246452434,-0.3366132047
1400000US04019003600,04019003600,"Census Tract 36, Pima County, Arizona",1437,129,46766,2112,1217,150,45850,7493,47276.259832574,-0.0107931515
1400000US04019003702,04019003702,"Census Tract 37.02, Pima County, Arizona",2050,152,19957,4296,2113,159,21449,3968,22116.2158592995,-0.0976304388
1400000US04019003704,04019003704,"Census Tract 37.04, Pima County, Arizona",1476,83,28852,5707,1366,90,33162,8235,34193.5731421553,-0.1562157052
1400000US04019003705,04019003705,"Census Tract 37.05, Pima County, Arizona",1715,113,33609,4259,1659,135,37225,5119,38382.9612272098,-0.1243770953
